     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV
    3.607000e+02   -2.063200e+00    4.554000e+00    1.030644e-03    1.067017e-03    1.103438e-03    4.426770e+00    4.433141e+00    4.439513e+00    8.363472e-01    1.636528e-01    7.989215e-13    1.022061e+03    3.803929e-02    4.261198e+00    1.460684e-02
    3.606000e+02   -1.755000e-02    4.555300e+00    1.038416e-03    1.074934e-03    1.111507e-03    4.425358e+00    4.431755e+00    4.438152e+00    8.351329e-01    1.648671e-01    8.599078e-13    1.031500e+03    3.891617e-02    3.468882e-04    1.526342e-02
    3.605000e+02    1.334980e+00    4.558900e+00    1.046185e-03    1.082900e-03    1.119558e-03    4.423937e+00    4.430360e+00    4.436782e+00    8.339111e-01    1.660889e-01    9.261797e-13    1.041031e+03    3.981376e-02    1.779282e+00    1.652262e-02
    3.604000e+02    1.834600e-01    4.554100e+00    1.054058e-03    1.090916e-03    1.127728e-03    4.422508e+00    4.428956e+00    4.435404e+00    8.326816e-01    1.673184e-01    9.969239e-13    1.050655e+03    4.073258e-02    3.325848e-02    1.566106e-02
    3.603000e+02    1.842800e-01    4.553400e+00    1.061982e-03    1.098982e-03    1.135947e-03    4.421069e+00    4.427543e+00    4.434017e+00    8.314445e-01    1.685555e-01    1.073496e-12    1.060374e+03    4.167312e-02    3.355528e-02    1.583990e-02
    3.602000e+02    5.380300e-01    4.549000e+00    1.069955e-03    1.107098e-03    1.144218e-03    4.419623e+00    4.426122e+00    4.432621e+00    8.301998e-01    1.698002e-01    1.155624e-12    1.070188e+03    4.263593e-02    2.882862e-01    1.509897e-02
    3.601000e+02   -7.635000e-01    4.548300e+00    1.077979e-03    1.115263e-03    1.152539e-03    4.418167e+00    4.424692e+00    4.431217e+00    8.289474e-01    1.710526e-01    1.244393e-12    1.080099e+03    4.362153e-02    5.846365e-01    1.527889e-02
    3.600000e+02    1.732420e+00    4.554000e+00    1.086076e-03    1.123479e-03    1.160882e-03    4.416703e+00    4.423254e+00    4.429804e+00    8.276874e-01    1.723126e-01    1.339667e-12    1.090107e+03    4.463049e-02    2.997388e+00    1.709466e-02
    3.599000e+02    9.789100e-01    4.552100e+00    1.094197e-03    1.131745e-03    1.169292e-03    4.415231e+00    4.421806e+00    4.428381e+00    8.264196e-01    1.735804e-01    1.441989e-12    1.100213e+03    4.566336e-02    9.560503e-01    1.697654e-02
    3.598000e+02    4.529300e-01    4.541900e+00    1.102369e-03    1.140061e-03    1.177752e-03    4.413749e+00    4.420350e+00    4.426950e+00    8.251442e-01    1.748558e-01    1.552307e-12    1.110419e+03    4.672073e-02    2.041141e-01    1.477450e-02
    3.597000e+02   -7.723200e-01    4.534800e+00    1.110593e-03    1.148427e-03    1.186262e-03    4.412259e+00    4.418884e+00    4.425510e+00    8.238610e-01    1.761390e-01    1.670756e-12    1.120725e+03    4.780319e-02    5.982534e-01    1.343641e-02
    3.596000e+02    6.928000e-02    4.541200e+00    1.118867e-03    1.156844e-03    1.194822e-03    4.410760e+00    4.417410e+00    4.424061e+00    8.225700e-01    1.774300e-01    1.798014e-12    1.131132e+03    4.891135e-02    4.640764e-03    1.532385e-02
    3.595000e+02    5.497100e-01    4.546600e+00    1.127192e-03    1.165312e-03    1.203432e-03    4.409252e+00    4.415928e+00    4.422603e+00    8.212713e-01    1.787287e-01    1.935030e-12    1.141642e+03    5.004584e-02    3.009013e-01    1.707528e-02
    3.594000e+02    1.119900e+00    4.537000e+00    1.135568e-03    1.173830e-03    1.212093e-03    4.407735e+00    4.414436e+00    4.421136e+00    8.199648e-01    1.800352e-01    2.082481e-12    1.152256e+03    5.120730e-02    1.251548e+00    1.502198e-02
