     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.630000e+02   -2.189210e-01    4.435200e-01    1.154440e-02    1.703892e-08    2.331880e-08    2.959868e-08    4.227429e-01    4.233774e-01    4.240120e-01    3.430001e-03    3.620305e-03    3.810610e-03    9.897889e-01    1.021109e-02    6.059046e-10    2.536207e-02    9.643335e-06    0.000000e+00
    3.629000e+02   -2.189210e-01    4.435200e-01    1.154440e-02    1.752416e-08    2.401904e-08    3.051392e-08    4.227324e-01    4.233667e-01    4.240011e-01    3.462141e-03    3.653861e-03    3.845581e-03    9.896943e-01    1.030573e-02    6.240993e-10    2.553208e-02    9.931628e-06    0.000000e+00
    3.628000e+02   -3.900070e-01    4.430100e-01    1.120080e-02    1.806305e-08    2.474068e-08    3.141832e-08    4.227217e-01    4.233559e-01    4.239902e-01    3.494601e-03    3.687740e-03    3.880880e-03    9.895987e-01    1.040129e-02    6.428502e-10    2.570332e-02    1.022871e-05    0.000000e+00
    3.627000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    1.860673e-08    2.548437e-08    3.236201e-08    4.227110e-01    4.233450e-01    4.239791e-01    3.527372e-03    3.721946e-03    3.916520e-03    9.895022e-01    1.049776e-02    6.621738e-10    2.587581e-02    1.053484e-05    0.000000e+00
    3.626000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    1.905028e-08    2.625080e-08    3.345133e-08    4.227001e-01    4.233340e-01    4.239679e-01    3.560459e-03    3.756481e-03    3.952503e-03    9.894048e-01    1.059517e-02    6.820884e-10    2.604955e-02    1.085032e-05    0.000000e+00
    3.625000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    1.984577e-08    2.704064e-08    3.423551e-08    4.226891e-01    4.233229e-01    4.239566e-01    3.593872e-03    3.791349e-03    3.988826e-03    9.893065e-01    1.069351e-02    7.026111e-10    2.622455e-02    1.117542e-05    0.000000e+00
    3.624000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    2.029659e-08    2.785471e-08    3.541283e-08    4.226781e-01    4.233116e-01    4.239453e-01    3.627614e-03    3.826553e-03    4.025493e-03    9.892072e-01    1.079281e-02    7.237637e-10    2.640083e-02    1.151045e-05    0.000000e+00
    3.623000e+02   -3.686290e-01    4.439300e-01    1.101800e-02    2.098501e-08    2.869366e-08    3.640231e-08    4.226669e-01    4.233003e-01    4.239338e-01    3.661684e-03    3.862097e-03    4.062510e-03    9.891069e-01    1.089306e-02    7.455624e-10    2.657839e-02    1.185572e-05    0.000000e+00
    3.622000e+02   -1.612010e-01    4.440100e-01    1.102400e-02    2.170387e-08    2.955830e-08    3.741273e-08    4.226556e-01    4.232889e-01    4.239221e-01    3.696082e-03    3.897983e-03    4.099885e-03    9.890057e-01    1.099428e-02    7.680289e-10    2.675724e-02    1.221155e-05    0.000000e+00
    3.621000e+02   -1.612010e-01    4.440100e-01    1.102400e-02    2.227442e-08    3.044947e-08    3.862452e-08    4.226442e-01    4.232773e-01    4.239104e-01    3.730819e-03    3.934216e-03    4.137613e-03    9.889035e-01    1.109647e-02    7.911846e-10    2.693740e-02    1.257826e-05    0.000000e+00
    3.620000e+02   -8.437500e-02    4.434600e-01    1.094460e-02    2.302860e-08    3.136796e-08    3.970731e-08    4.226327e-01    4.232656e-01    4.238986e-01    3.765890e-03    3.970798e-03    4.175706e-03    9.888003e-01    1.119965e-02    8.150501e-10    2.711887e-02    1.295619e-05    0.000000e+00
    3.619000e+02   -1.246930e-01    4.432100e-01    1.162610e-02    2.362513e-08    3.231462e-08    4.100412e-08    4.226210e-01    4.232538e-01    4.238866e-01    3.801304e-03    4.007734e-03    4.214163e-03    9.886962e-01    1.130383e-02    8.396478e-10    2.730166e-02    1.334570e-05    0.000000e+00
    3.618000e+02   -3.909800e-01    4.442600e-01    1.135060e-02    2.446582e-08    3.329030e-08    4.211478e-08    4.226093e-01    4.232419e-01    4.238746e-01    3.837071e-03    4.045025e-03    4.252978e-03    9.885910e-01    1.140901e-02    8.649994e-10    2.748579e-02    1.374714e-05    0.000000e+00
    3.617000e+02   -4.371610e-01    4.440200e-01    1.056810e-02    2.521177e-08    3.429596e-08    4.338016e-08    4.225974e-01    4.232299e-01    4.238624e-01    3.873177e-03    4.082677e-03    4.292176e-03    9.884848e-01    1.151520e-02    8.911301e-10    2.767126e-02    1.416089e-05    0.000000e+00
    3.616000e+02   -5.328490e-01    4.436000e-01    1.001700e-02    2.595657e-08    3.533252e-08    4.470847e-08    4.225855e-01    4.232178e-01    4.238501e-01    3.909643e-03    4.120691e-03    4.331740e-03    9.883776e-01    1.162243e-02    9.180635e-10    2.785809e-02    1.458733e-05    0.000000e+00
