     Temperature          CDdata          UVdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.605000e+02    1.334980e+00    4.558900e+00    2.974094e-06    4.028031e-06    5.081967e-06    4.497875e+00    4.504120e+00    4.510366e+00    8.943378e-01    1.056621e-01    1.046624e-08    3.000574e-02    2.023888e-05    0.000000e+00
    3.604000e+02    1.834600e-01    4.554100e+00    3.061205e-06    4.143907e-06    5.226610e-06    4.496864e+00    4.503109e+00    4.509355e+00    8.935193e-01    1.064807e-01    1.076733e-08    3.020968e-02    2.085248e-05    0.000000e+00
    3.603000e+02    1.842800e-01    4.553400e+00    3.150492e-06    4.263131e-06    5.375769e-06    4.495846e+00    4.502092e+00    4.508337e+00    8.926953e-01    1.073047e-01    1.107712e-08    3.041513e-02    2.148504e-05    0.000000e+00
    3.602000e+02    5.380300e-01    4.549000e+00    3.242398e-06    4.385796e-06    5.529195e-06    4.494822e+00    4.501068e+00    4.507313e+00    8.918659e-01    1.081341e-01    1.139585e-08    3.062209e-02    2.213716e-05    0.000000e+00
    3.601000e+02   -7.635000e-01    4.548300e+00    3.337823e-06    4.512004e-06    5.686186e-06    4.493791e+00    4.500037e+00    4.506283e+00    8.910310e-01    1.089690e-01    1.172378e-08    3.083057e-02    2.280945e-05    0.000000e+00
    3.600000e+02    1.732420e+00    4.554000e+00    3.435294e-06    4.641857e-06    5.848419e-06    4.492753e+00    4.498999e+00    4.505245e+00    8.901906e-01    1.098094e-01    1.206118e-08    3.104059e-02    2.350254e-05    0.000000e+00
    3.599000e+02    9.789100e-01    4.552100e+00    3.536295e-06    4.775459e-06    6.014623e-06    4.491708e+00    4.497954e+00    4.504201e+00    8.893448e-01    1.106552e-01    1.240833e-08    3.125215e-02    2.421710e-05    0.000000e+00
    3.598000e+02    4.529300e-01    4.541900e+00    3.639076e-06    4.912919e-06    6.186762e-06    4.490656e+00    4.496903e+00    4.503150e+00    8.884933e-01    1.115066e-01    1.276550e-08    3.146528e-02    2.495380e-05    0.000000e+00
    3.597000e+02   -7.723200e-01    4.534800e+00    3.745644e-06    5.054349e-06    6.363054e-06    4.489597e+00    4.495845e+00    4.502092e+00    8.876364e-01    1.123636e-01    1.313298e-08    3.167998e-02    2.571335e-05    0.000000e+00
    3.596000e+02    6.928000e-02    4.541200e+00    3.855196e-06    5.199863e-06    6.544529e-06    4.488531e+00    4.494780e+00    4.501028e+00    8.867739e-01    1.132261e-01    1.351108e-08    3.189627e-02    2.649645e-05    0.000000e+00
    3.595000e+02    5.497100e-01    4.546600e+00    3.969633e-06    5.349578e-06    6.729524e-06    4.487458e+00    4.493708e+00    4.499957e+00    8.859058e-01    1.140942e-01    1.390009e-08    3.211416e-02    2.730385e-05    0.000000e+00
    3.594000e+02    1.119900e+00    4.537000e+00    4.085255e-06    5.503618e-06    6.921981e-06    4.486379e+00    4.492629e+00    4.498879e+00    8.850322e-01    1.149678e-01    1.430034e-08    3.233365e-02    2.813633e-05    0.000000e+00
    3.593000e+02    1.501980e+00    4.535900e+00    4.204067e-06    5.662106e-06    7.120145e-06    4.485292e+00    4.491543e+00    4.497794e+00    8.841529e-01    1.158471e-01    1.471215e-08    3.255477e-02    2.899468e-05    0.000000e+00
