     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.630000e+02   -1.549100e-01    1.614700e-01    6.855100e-03    1.057270e-09    1.479951e-09    1.902632e-09    1.581816e-01    1.583309e-01    1.584801e-01    3.166407e-04    3.347287e-04    3.528167e-04    9.974078e-01    2.592222e-03    1.538174e-10    2.536207e-02    9.643335e-06    0.000000e+00
    3.629000e+02   -1.549100e-01    1.614700e-01    6.855100e-03    1.120034e-09    1.524605e-09    1.929176e-09    1.581806e-01    1.583298e-01    1.584791e-01    3.196533e-04    3.378793e-04    3.561053e-04    9.973834e-01    2.616621e-03    1.584585e-10    2.553208e-02    9.931628e-06    0.000000e+00
    3.628000e+02    6.240000e-04    1.618000e-01    7.027600e-03    1.119634e-09    1.570644e-09    2.021654e-09    1.581796e-01    1.583288e-01    1.584780e-01    3.226936e-04    3.410612e-04    3.594288e-04    9.973587e-01    2.641262e-03    1.632435e-10    2.570332e-02    1.022871e-05    0.000000e+00
    3.627000e+02   -8.796800e-02    1.611700e-01    6.787500e-03    1.181561e-09    1.618085e-09    2.054609e-09    1.581786e-01    1.583277e-01    1.584769e-01    3.257655e-04    3.442746e-04    3.627837e-04    9.973338e-01    2.666147e-03    1.681742e-10    2.587581e-02    1.053484e-05    0.000000e+00
    3.626000e+02   -8.796800e-02    1.611700e-01    6.787500e-03    1.210205e-09    1.666995e-09    2.123786e-09    1.581775e-01    1.583267e-01    1.584759e-01    3.288683e-04    3.475200e-04    3.661716e-04    9.973087e-01    2.691280e-03    1.732577e-10    2.604955e-02    1.085032e-05    0.000000e+00
    3.625000e+02   -2.435400e-02    1.610500e-01    6.248300e-03    1.240766e-09    1.717403e-09    2.194040e-09    1.581765e-01    1.583256e-01    1.584748e-01    3.320035e-04    3.507976e-04    3.695917e-04    9.972833e-01    2.716663e-03    1.784968e-10    2.622455e-02    1.117542e-05    0.000000e+00
    3.624000e+02   -1.013080e-01    1.613200e-01    6.679900e-03    1.291785e-09    1.769372e-09    2.246959e-09    1.581754e-01    1.583245e-01    1.584737e-01    3.351662e-04    3.541077e-04    3.730493e-04    9.972577e-01    2.742298e-03    1.838981e-10    2.640083e-02    1.151045e-05    0.000000e+00
    3.623000e+02   -7.423200e-02    1.609800e-01    6.686600e-03    1.311805e-09    1.822939e-09    2.334072e-09    1.581743e-01    1.583234e-01    1.584726e-01    3.383631e-04    3.574508e-04    3.765386e-04    9.972318e-01    2.768187e-03    1.894655e-10    2.657839e-02    1.185572e-05    0.000000e+00
    3.622000e+02   -7.798900e-02    1.610500e-01    6.429300e-03    1.374842e-09    1.878157e-09    2.381472e-09    1.581732e-01    1.583223e-01    1.584714e-01    3.415933e-04    3.608272e-04    3.800611e-04    9.972057e-01    2.794335e-03    1.952045e-10    2.675724e-02    1.221155e-05    0.000000e+00
    3.621000e+02    1.401700e-02    1.606900e-01    6.796300e-03    1.401139e-09    1.935079e-09    2.469018e-09    1.581721e-01    1.583212e-01    1.584703e-01    3.448546e-04    3.642371e-04    3.836197e-04    9.971793e-01    2.820742e-03    2.011207e-10    2.693740e-02    1.257826e-05    0.000000e+00
