     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.610000e+02   -2.076580e-01    2.671600e-01    7.747700e-03    7.902235e-09    1.069438e-08    1.348653e-08    2.567036e-01    2.570541e-01    2.574047e-01    1.393021e-03    1.468836e-03    1.544651e-03    9.937803e-01    6.219647e-03    5.557555e-10    2.900811e-02    1.743564e-05    0.000000e+00
    3.609000e+02   -2.165100e-02    2.682200e-01    7.431000e-03    8.173068e-09    1.101998e-08    1.386690e-08    2.566997e-01    2.570501e-01    2.574006e-01    1.406322e-03    1.482714e-03    1.559105e-03    9.937216e-01    6.278410e-03    5.726760e-10    2.920473e-02    1.796277e-05    0.000000e+00
    3.608000e+02   -3.670800e-02    2.681400e-01    8.196000e-03    8.394421e-09    1.135567e-08    1.431691e-08    2.566956e-01    2.570461e-01    2.573965e-01    1.419758e-03    1.496729e-03    1.573699e-03    9.936622e-01    6.337755e-03    5.901205e-10    2.940279e-02    1.850614e-05    0.000000e+00
    3.607000e+02    7.847100e-02    2.670500e-01    7.160400e-03    8.646537e-09    1.170176e-08    1.475698e-08    2.566916e-01    2.570419e-01    2.573923e-01    1.433325e-03    1.510882e-03    1.588439e-03    9.936023e-01    6.397687e-03    6.081058e-10    2.960230e-02    1.906626e-05    0.000000e+00
    3.606000e+02   -1.557310e-01    2.684200e-01    8.773300e-03    8.927051e-09    1.205858e-08    1.519011e-08    2.566875e-01    2.570378e-01    2.573881e-01    1.447022e-03    1.525176e-03    1.603329e-03    9.935418e-01    6.458212e-03    6.266490e-10    2.980328e-02    1.964366e-05    0.000000e+00
    3.605000e+02   -1.322810e-01    2.670500e-01    7.557100e-03    9.219419e-09    1.242649e-08    1.563356e-08    2.566833e-01    2.570336e-01    2.573839e-01    1.460865e-03    1.539611e-03    1.618357e-03    9.934807e-01    6.519336e-03    6.457679e-10    3.000574e-02    2.023888e-05    0.000000e+00
    3.604000e+02    5.603900e-02    2.684000e-01    7.495100e-03    9.407606e-09    1.280582e-08    1.620403e-08    2.566791e-01    2.570293e-01    2.573796e-01    1.474846e-03    1.554189e-03    1.633532e-03    9.934189e-01    6.581065e-03    6.654806e-10    3.020968e-02    2.085248e-05    0.000000e+00
    3.603000e+02   -9.459000e-03    2.674200e-01    8.076600e-03    9.777397e-09    1.319692e-08    1.661644e-08    2.566749e-01    2.570251e-01    2.573752e-01    1.488961e-03    1.568911e-03    1.648862e-03    9.933566e-01    6.643406e-03    6.858048e-10    3.041513e-02    2.148504e-05    0.000000e+00
    3.602000e+02   -1.304110e-01    2.676800e-01    7.873100e-03    1.006156e-08    1.360018e-08    1.713880e-08    2.566707e-01    2.570208e-01    2.573709e-01    1.503218e-03    1.583780e-03    1.664341e-03    9.932936e-01    6.706365e-03    7.067612e-10    3.062209e-02    2.213716e-05    0.000000e+00
    3.601000e+02   -1.350750e-01    2.671800e-01    7.706800e-03    1.037505e-08    1.401599e-08    1.765693e-08    2.566663e-01    2.570164e-01    2.573665e-01    1.517624e-03    1.598796e-03    1.679967e-03    9.932300e-01    6.769948e-03    7.283696e-10    3.083057e-02    2.280945e-05    0.000000e+00
