     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL            Phi1            PhiA            PhiB              Ka              Kb        Residual
    3.630000e+02    6.992300e-02    1.032000e-01    9.634000e-04    1.748712e-10    2.375290e-10    3.001868e-10    1.072761e-01    1.073438e-01    1.074114e-01    4.048713e-05    6.867911e-05    4.495702e-05    9.989599e-01    1.040118e-03    6.171841e-11    2.536207e-02    9.643335e-06    0.000000e+00
    3.629000e+02   -4.488700e-02    1.027900e-01    2.683200e-03    1.733380e-10    2.447039e-10    3.160699e-10    1.072759e-01    1.073435e-01    1.074111e-01    4.087306e-05    6.932758e-05    4.537784e-05    9.989501e-01    1.049939e-03    6.358271e-11    2.553208e-02    9.931628e-06    0.000000e+00
    3.628000e+02   -6.848900e-02    1.026000e-01    1.992200e-03    1.820343e-10    2.520985e-10    3.221628e-10    1.072756e-01    1.073432e-01    1.074108e-01    4.126317e-05    6.998251e-05    4.580255e-05    9.989401e-01    1.059858e-03    6.550409e-11    2.570332e-02    1.022871e-05    0.000000e+00
    3.627000e+02    5.582300e-02    1.029300e-01    1.670000e-03    1.871384e-10    2.597235e-10    3.323085e-10    1.072753e-01    1.073429e-01    1.074105e-01    4.165705e-05    7.064399e-05    4.623161e-05    9.989301e-01    1.069876e-03    6.748532e-11    2.587581e-02    1.053484e-05    0.000000e+00
    3.626000e+02   -1.236480e-01    1.038700e-01    1.933800e-03    2.003328e-10    2.675796e-10    3.348263e-10    1.072750e-01    1.073426e-01    1.074102e-01    4.205424e-05    7.131207e-05    4.666560e-05    9.989200e-01    1.079993e-03    6.952661e-11    2.604955e-02    1.085032e-05    0.000000e+00
    3.625000e+02   -2.794540e-01    1.037700e-01    2.202000e-03    2.071604e-10    2.756800e-10    3.441997e-10    1.072747e-01    1.073423e-01    1.074099e-01    4.245632e-05    7.198684e-05    4.710300e-05    9.989098e-01    1.090212e-03    7.163139e-11    2.622455e-02    1.117542e-05    0.000000e+00
    3.624000e+02   -1.462980e-01    1.025600e-01    1.674800e-03    2.071167e-10    2.840330e-10    3.609494e-10    1.072744e-01    1.073420e-01    1.074096e-01    4.286260e-05    7.266835e-05    4.754458e-05    9.988995e-01    1.100534e-03    7.380180e-11    2.640083e-02    1.151045e-05    0.000000e+00
    3.623000e+02   -1.462980e-01    1.025600e-01    1.674800e-03    2.012217e-10    2.926403e-10    3.840589e-10    1.072741e-01    1.073417e-01    1.074093e-01    4.327218e-05    7.335668e-05    4.799137e-05    9.988890e-01    1.110958e-03    7.603827e-11    2.657839e-02    1.185572e-05    0.000000e+00
    3.622000e+02    1.058200e-02    1.034100e-01    1.715300e-03    2.285564e-10    3.015126e-10    3.744688e-10    1.072738e-01    1.073414e-01    1.074090e-01    4.368641e-05    7.405191e-05    4.844207e-05    9.988785e-01    1.121487e-03    7.834361e-11    2.675724e-02    1.221155e-05    0.000000e+00
    3.621000e+02    4.320500e-02    1.030300e-01    1.360200e-03    2.210402e-10    3.106635e-10    4.002868e-10    1.072735e-01    1.073411e-01    1.074087e-01    4.410482e-05    7.475409e-05    4.889725e-05    9.988679e-01    1.132121e-03    8.072133e-11    2.693740e-02    1.257826e-05    0.000000e+00
    3.620000e+02    8.226800e-02    1.028400e-01    1.927800e-03    2.258984e-10    3.200938e-10    4.142892e-10    1.072732e-01    1.073408e-01    1.074084e-01    4.452708e-05    7.546331e-05    4.935735e-05    9.988571e-01    1.142862e-03    8.317166e-11    2.711887e-02    1.295619e-05    0.000000e+00
    3.619000e+02   -1.010250e-01    1.027900e-01    2.630900e-03    2.362823e-10    3.298165e-10    4.233506e-10    1.072729e-01    1.073405e-01    1.074081e-01    4.495367e-05    7.617965e-05    4.982195e-05    9.988463e-01    1.153711e-03    8.569795e-11    2.730166e-02    1.334570e-05    0.000000e+00
    3.618000e+02   -1.647520e-01    1.041900e-01    1.825800e-03    2.478793e-10    3.398380e-10    4.317966e-10    1.072726e-01    1.073402e-01    1.074078e-01    4.538532e-05    7.690317e-05    5.029043e-05    9.988353e-01    1.164668e-03    8.830189e-11    2.748579e-02    1.374714e-05    0.000000e+00
    3.617000e+02    5.460000e-03    1.041800e-01    2.364000e-03    2.606708e-10    3.501719e-10    4.396730e-10    1.072723e-01    1.073399e-01    1.074075e-01    4.582046e-05    7.763395e-05    5.076446e-05    9.988243e-01    1.175736e-03    9.098701e-11    2.767126e-02    1.416089e-05    0.000000e+00
    3.616000e+02   -1.388180e-01    1.035800e-01    1.536300e-03    2.633706e-10    3.608256e-10    4.582806e-10    1.072720e-01    1.073396e-01    1.074071e-01    4.626015e-05    7.837206e-05    5.124307e-05    9.988131e-01    1.186914e-03    9.375521e-11    2.785809e-02    1.458733e-05    0.000000e+00
    3.615000e+02   -1.963500e-02    1.039800e-01    2.148800e-03    2.673254e-10    3.718104e-10    4.762955e-10    1.072717e-01    1.073392e-01    1.074068e-01    4.670469e-05    7.911760e-05    5.172605e-05    9.988018e-01    1.198205e-03    9.660946e-11    2.804628e-02    1.502686e-05    0.000000e+00
    3.614000e+02   -2.073610e-01    1.046100e-01    2.189200e-03    2.782334e-10    3.831345e-10    4.880357e-10    1.072713e-01    1.073389e-01    1.074065e-01    4.715361e-05    7.987062e-05    5.221398e-05    9.987904e-01    1.209609e-03    9.955186e-11    2.823585e-02    1.547989e-05    0.000000e+00
    3.613000e+02   -3.356300e-02    1.032400e-01    1.985000e-03    2.865600e-10    3.948100e-10    5.030601e-10    1.072710e-01    1.073386e-01    1.074061e-01    4.760677e-05    8.063122e-05    5.270708e-05    9.987789e-01    1.221128e-03    1.025856e-10    2.842681e-02    1.594684e-05    0.000000e+00
    3.612000e+02   -1.083880e-01    1.029400e-01    1.481600e-03    2.895211e-10    4.068486e-10    5.241761e-10    1.072707e-01    1.073383e-01    1.074058e-01    4.806498e-05    8.139947e-05    5.320466e-05    9.987672e-01    1.232763e-03    1.057136e-10    2.861916e-02    1.642815e-05    0.000000e+00
    3.611000e+02   -1.140580e-01    1.029700e-01    1.797600e-03    3.107406e-10    4.192602e-10    5.277797e-10    1.072704e-01    1.073379e-01    1.074055e-01    4.852771e-05    8.217546e-05    5.370733e-05    9.987555e-01    1.244515e-03    1.089386e-10    2.881293e-02    1.692426e-05    0.000000e+00
    3.610000e+02   -2.093170e-01    1.033200e-01    1.778600e-03    3.135383e-10    4.320599e-10    5.505815e-10    1.072700e-01    1.073376e-01    1.074051e-01    4.899545e-05    8.295926e-05    5.421473e-05    9.987436e-01    1.256385e-03    1.122644e-10    2.900811e-02    1.743564e-05    0.000000e+00
    3.609000e+02   -4.164000e-03    1.043800e-01    1.498600e-03    3.285144e-10    4.452554e-10    5.619964e-10    1.072697e-01    1.073372e-01    1.074048e-01    4.946735e-05    8.375095e-05    5.472779e-05    9.987316e-01    1.268375e-03    1.156930e-10    2.920473e-02    1.796277e-05    0.000000e+00
    3.608000e+02   -7.285100e-02    1.031700e-01    2.034500e-03    3.351137e-10    4.588623e-10    5.826110e-10    1.072693e-01    1.073369e-01    1.074044e-01    4.994376e-05    8.455063e-05    5.524626e-05    9.987195e-01    1.280486e-03    1.192286e-10    2.940279e-02    1.850614e-05    0.000000e+00
    3.607000e+02   -1.340030e-01    1.034400e-01    1.716000e-03    3.476593e-10    4.728932e-10    5.981272e-10    1.072690e-01    1.073365e-01    1.074041e-01    5.042597e-05    8.535838e-05    5.576897e-05    9.987073e-01    1.292719e-03    1.228743e-10    2.960230e-02    1.906626e-05    0.000000e+00
    3.606000e+02   -9.564700e-02    1.033300e-01    2.542300e-03    3.674496e-10    4.873586e-10    6.072675e-10    1.072686e-01    1.073362e-01    1.074037e-01    5.091207e-05    8.617427e-05    5.629792e-05    9.986949e-01    1.305075e-03    1.266329e-10    2.980328e-02    1.964366e-05    0.000000e+00
    3.605000e+02   -1.445280e-01    1.030000e-01    2.573500e-03    3.758747e-10    5.022768e-10    6.286788e-10    1.072683e-01    1.073358e-01    1.074033e-01    5.140383e-05    8.699840e-05    5.683148e-05    9.986824e-01    1.317557e-03    1.305092e-10    3.000574e-02    2.023888e-05    0.000000e+00
    3.604000e+02    9.426900e-02    1.037800e-01    2.673300e-03    3.727961e-10    5.176629e-10    6.625297e-10    1.072679e-01    1.073355e-01    1.074030e-01    5.190065e-05    8.783086e-05    5.737032e-05    9.986698e-01    1.330164e-03    1.345071e-10    3.020968e-02    2.085248e-05    0.000000e+00
    3.603000e+02   -2.074190e-01    1.038400e-01    1.910600e-03    3.921223e-10    5.335247e-10    6.749270e-10    1.072676e-01    1.073351e-01    1.074026e-01    5.240200e-05    8.867173e-05    5.791510e-05    9.986571e-01    1.342898e-03    1.386285e-10    3.041513e-02    2.148504e-05    0.000000e+00
    3.602000e+02   -1.974300e-02    1.036100e-01    2.839600e-03    4.054024e-10    5.498830e-10    6.943636e-10    1.072672e-01    1.073347e-01    1.074022e-01    5.290921e-05    8.952110e-05    5.846459e-05    9.986442e-01    1.355762e-03    1.428790e-10    3.062209e-02    2.213716e-05    0.000000e+00
    3.601000e+02   -2.461320e-01    1.038200e-01    2.157800e-03    4.224830e-10    5.667528e-10    7.110225e-10    1.072669e-01    1.073344e-01    1.074019e-01    5.342140e-05    9.037906e-05    5.901980e-05    9.986312e-01    1.368755e-03    1.472623e-10    3.083057e-02    2.280945e-05    0.000000e+00
    3.600000e+02   -1.022300e-02    1.023300e-01    1.644900e-03    4.338512e-10    5.841508e-10    7.344504e-10    1.072665e-01    1.073340e-01    1.074015e-01    5.393767e-05    9.124571e-05    5.958174e-05    9.986181e-01    1.381880e-03    1.517830e-10    3.104059e-02    2.350254e-05    0.000000e+00
    3.599000e+02   -7.442900e-02    1.034600e-01    2.351500e-03    4.503360e-10    6.020909e-10    7.538459e-10    1.072661e-01    1.073336e-01    1.074011e-01    5.446008e-05    9.212113e-05    6.014844e-05    9.986049e-01    1.395138e-03    1.564445e-10    3.125215e-02    2.421710e-05    0.000000e+00
    3.598000e+02   -7.846400e-02    1.032800e-01    2.404500e-03    4.659959e-10    6.205915e-10    7.751871e-10    1.072657e-01    1.073332e-01    1.074007e-01    5.498856e-05    9.300543e-05    6.072012e-05    9.985915e-01    1.408531e-03    1.612515e-10    3.146528e-02    2.495380e-05    0.000000e+00
    3.597000e+02   -2.694640e-01    1.038800e-01    1.782000e-03    4.634631e-10    6.396756e-10    8.158880e-10    1.072654e-01    1.073328e-01    1.074003e-01    5.552090e-05    9.389868e-05    6.129909e-05    9.985779e-01    1.422059e-03    1.662103e-10    3.167998e-02    2.571335e-05    0.000000e+00
    3.596000e+02   -1.851070e-01    1.032800e-01    1.895700e-03    4.913058e-10    6.593524e-10    8.273990e-10    1.072650e-01    1.073324e-01    1.073999e-01    5.606054e-05    9.480099e-05    6.188202e-05    9.985643e-01    1.435724e-03    1.713230e-10    3.189627e-02    2.649645e-05    0.000000e+00
    3.595000e+02   -9.558100e-02    1.030100e-01    2.145100e-03    5.016625e-10    6.796488e-10    8.576351e-10    1.072646e-01    1.073320e-01    1.073995e-01    5.660436e-05    9.571246e-05    6.247217e-05    9.985505e-01    1.449528e-03    1.765967e-10    3.211416e-02    2.730385e-05    0.000000e+00
    3.594000e+02   -8.558500e-02    1.027800e-01    2.726700e-03    5.180352e-10    7.005806e-10    8.831260e-10    1.072642e-01    1.073317e-01    1.073991e-01    5.715376e-05    9.663318e-05    6.306824e-05    9.985365e-01    1.463472e-03    1.820356e-10    3.233365e-02    2.813633e-05    0.000000e+00
    3.593000e+02   -2.646220e-01    1.040700e-01    2.504100e-03    5.405620e-10    7.221681e-10    9.037741e-10    1.072638e-01    1.073312e-01    1.073987e-01    5.770945e-05    9.756325e-05    6.366966e-05    9.985224e-01    1.477557e-03    1.876447e-10    3.255477e-02    2.899468e-05    0.000000e+00
    3.592000e+02    1.620090e-01    1.036500e-01    2.290700e-03    5.525190e-10    7.444356e-10    9.363523e-10    1.072634e-01    1.073308e-01    1.073983e-01    5.827100e-05    9.850277e-05    6.427696e-05    9.985082e-01    1.491786e-03    1.934306e-10    3.277753e-02    2.987971e-05    0.000000e+00
    3.591000e+02   -6.817200e-02    1.025400e-01    1.479800e-03    5.784796e-10    7.673996e-10    9.563195e-10    1.072630e-01    1.073304e-01    1.073979e-01    5.883796e-05    9.945185e-05    6.489075e-05    9.984938e-01    1.506159e-03    1.993975e-10    3.300193e-02    3.079227e-05    0.000000e+00
    3.590000e+02    6.232200e-02    1.036900e-01    1.973100e-03    5.870559e-10    7.910878e-10    9.951197e-10    1.072626e-01    1.073300e-01    1.073975e-01    5.940958e-05    1.004106e-04    6.551189e-05    9.984793e-01    1.520679e-03    2.055525e-10    3.322800e-02    3.173323e-05    0.000000e+00
    3.589000e+02   -6.404900e-02    1.033000e-01    2.767500e-03    6.051804e-10    8.155200e-10    1.025860e-09    1.072622e-01    1.073296e-01    1.073970e-01    5.998923e-05    1.013791e-04    6.613714e-05    9.984646e-01    1.535346e-03    2.119009e-10    3.345575e-02    3.270350e-05    0.000000e+00
    3.588000e+02   -1.995190e-01    1.029600e-01    2.038600e-03    6.338444e-10    8.407200e-10    1.047596e-09    1.072617e-01    1.073292e-01    1.073966e-01    6.057284e-05    1.023574e-04    6.677068e-05    9.984498e-01    1.550162e-03    2.184487e-10    3.368518e-02    3.370400e-05    0.000000e+00
    3.587000e+02   -9.069800e-02    1.032300e-01    2.904500e-03    6.287344e-10    8.667155e-10    1.104697e-09    1.072613e-01    1.073287e-01    1.073962e-01    6.116364e-05    1.033457e-04    6.740945e-05    9.984349e-01    1.565130e-03    2.252033e-10    3.391632e-02    3.473569e-05    0.000000e+00
    3.586000e+02   -1.159000e-01    1.038100e-01    2.293400e-03    6.711782e-10    8.935239e-10    1.115870e-09    1.072609e-01    1.073283e-01    1.073957e-01    6.176083e-05    1.043441e-04    6.805434e-05    9.984198e-01    1.580250e-03    2.321690e-10    3.414917e-02    3.579956e-05    0.000000e+00
