     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.630000e+02   -6.751098e-01    1.042100e+00    1.917610e-02    6.152786e-05    6.421311e-05    6.689836e-05    9.873821e-01    9.877883e-01    9.881944e-01    1.790633e-02    1.868779e-02    1.946925e-02    9.606054e-01    3.939455e-02   -1.212951e-13    8.284436e+02    2.259908e-02    4.558600e-01    2.949765e-03    2.384459e-07
    3.629000e+02   -4.054520e-01    1.045470e+00    1.704900e-02    6.206677e-05    6.476984e-05    6.747290e-05    9.872952e-01    9.877041e-01    9.881129e-01    1.806317e-02    1.884981e-02    1.963646e-02    9.602639e-01    3.973610e-02   -1.330858e-13    8.359970e+02    2.311338e-02    1.644439e-01    3.336904e-03    3.242933e-06
    3.628000e+02   -4.054520e-01    1.045470e+00    1.704900e-02    6.261057e-05    6.533146e-05    6.805234e-05    9.872076e-01    9.876191e-01    9.880306e-01    1.822141e-02    1.901326e-02    1.980512e-02    9.599193e-01    4.008066e-02   -1.460962e-13    8.436235e+02    2.363967e-02    1.644443e-01    3.346725e-03    3.858321e-06
    3.627000e+02   -4.054520e-01    1.045470e+00    1.704900e-02    6.315910e-05    6.589800e-05    6.863691e-05    9.871192e-01    9.875334e-01    9.879477e-01    1.838105e-02    1.917814e-02    1.997524e-02    9.595718e-01    4.042823e-02   -1.599198e-13    8.513239e+02    2.417825e-02    1.644448e-01    3.356646e-03    4.533248e-06
    3.626000e+02   -3.420460e-01    1.045940e+00    1.713440e-02    6.371254e-05    6.646952e-05    6.922650e-05    9.870300e-01    9.874470e-01    9.878640e-01    1.854210e-02    1.934447e-02    2.014684e-02    9.592211e-01    4.077886e-02   -1.755052e-13    8.590988e+02    2.472940e-02    1.170409e-01    3.421432e-03    4.884414e-06
    3.625000e+02   -3.420460e-01    1.045940e+00    1.713440e-02    6.427076e-05    6.704606e-05    6.982136e-05    9.869401e-01    9.873598e-01    9.877795e-01    1.870459e-02    1.951226e-02    2.031993e-02    9.588674e-01    4.113256e-02   -1.920393e-13    8.669491e+02    2.529344e-02    1.170413e-01    3.431640e-03    5.654213e-06
    3.624000e+02   -5.203900e-01    1.046880e+00    1.747860e-02    6.483411e-05    6.762765e-05    7.042118e-05    9.868493e-01    9.872718e-01    9.876943e-01    1.886852e-02    1.968152e-02    2.049452e-02    9.585106e-01    4.148937e-02   -2.108773e-13    8.748755e+02    2.587066e-02    2.708761e-01    3.553134e-03    4.852849e-06
    3.623000e+02   -6.535949e-01    1.046060e+00    1.682340e-02    6.540232e-05    6.821434e-05    7.102636e-05    9.867578e-01    9.871831e-01    9.876084e-01    1.903390e-02    1.985226e-02    2.067062e-02    9.581507e-01    4.184930e-02   -2.312061e-13    8.828788e+02    2.646138e-02    4.272755e-01    3.466489e-03    9.174002e-06
    3.622000e+02   -6.535949e-01    1.046060e+00    1.682340e-02    6.597563e-05    6.880617e-05    7.163670e-05    9.866655e-01    9.870936e-01    9.875217e-01    1.920075e-02    2.002450e-02    2.084825e-02    9.577876e-01    4.221239e-02   -2.530257e-13    8.909599e+02    2.706593e-02    4.272762e-01    3.477037e-03    1.024705e-05
    3.621000e+02   -4.337280e-01    1.046300e+00    1.713910e-02    6.655405e-05    6.940318e-05    7.225232e-05    9.865724e-01    9.870033e-01    9.874342e-01    1.936908e-02    2.019825e-02    2.102742e-02    9.574213e-01    4.257866e-02   -2.775558e-13    8.991194e+02    2.768464e-02    1.881802e-01    3.516099e-03    9.358395e-06
    3.620000e+02   -4.964520e-01    1.046510e+00    1.728350e-02    6.713756e-05    7.000542e-05    7.287329e-05    9.864785e-01    9.869122e-01    9.873460e-01    1.953890e-02    2.037352e-02    2.120814e-02    9.570519e-01    4.294813e-02   -3.037121e-13    9.073582e+02    2.831784e-02    2.465341e-01    3.551896e-03    9.548220e-06
    3.619000e+02   -4.964520e-01    1.046510e+00    1.728350e-02    6.772627e-05    7.061294e-05    7.349961e-05    9.863837e-01    9.868203e-01    9.872569e-01    1.971022e-02    2.055032e-02    2.139043e-02    9.566792e-01    4.332084e-02   -3.333922e-13    9.156771e+02    2.896589e-02    2.465347e-01    3.562857e-03    1.067214e-05
    3.618000e+02   -5.451740e-01    1.046370e+00    1.770800e-02    6.832024e-05    7.122577e-05    7.413130e-05    9.862882e-01    9.867276e-01    9.871671e-01    1.988306e-02    2.072867e-02    2.157429e-02    9.563032e-01    4.369681e-02   -3.649696e-13    9.240770e+02    2.962913e-02    2.972924e-01    3.557211e-03    9.124475e-06
    3.617000e+02   -3.852550e-01    1.046660e+00    1.773430e-02    6.891936e-05    7.184396e-05    7.476856e-05    9.861918e-01    9.866341e-01    9.870765e-01    2.005743e-02    2.090859e-02    2.175975e-02    9.559239e-01    4.407607e-02   -3.996640e-13    9.325586e+02    3.030795e-02    1.484768e-01    3.603103e-03    1.007609e-05
    3.616000e+02   -4.252030e-01    1.046830e+00    1.781270e-02    6.952376e-05    7.246755e-05    7.541134e-05    9.860946e-01    9.865398e-01    9.869851e-01    2.023334e-02    2.109007e-02    2.194680e-02    9.555414e-01    4.445864e-02   -4.377466e-13    9.411228e+02    3.100270e-02    1.808592e-01    3.634904e-03    1.074115e-05
    3.615000e+02   -8.823550e-01    1.047480e+00    1.780540e-02    7.013359e-05    7.309659e-05    7.605959e-05    9.859965e-01    9.864447e-01    9.868928e-01    2.041080e-02    2.127314e-02    2.213548e-02    9.551554e-01    4.484456e-02   -4.796239e-13    9.497705e+02    3.171378e-02    7.786793e-01    3.725309e-03    1.202522e-05
