     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.630000e+02   -2.189210e-01    4.435200e-01    1.154440e-02    1.012841e-05    1.058423e-05    1.104005e-05    4.321838e-01    4.322588e-01    4.323338e-01    4.984204e-03    5.208512e-03    5.432820e-03    9.837665e-01    1.623348e-02   -1.694066e-16    8.284436e+02    2.259908e-02    4.793104e-02    1.268147e-04    4.014348e-05
    3.629000e+02   -2.189210e-01    4.435200e-01    1.154440e-02    1.021965e-05    1.067876e-05    1.113788e-05    4.321677e-01    4.322432e-01    4.323188e-01    5.029122e-03    5.255033e-03    5.480945e-03    9.836215e-01    1.637847e-02    1.694066e-16    8.359970e+02    2.311338e-02    4.793108e-02    1.271652e-04    3.955613e-05
    3.628000e+02   -3.900070e-01    4.430100e-01    1.120080e-02    1.031183e-05    1.077418e-05    1.123654e-05    4.321515e-01    4.322276e-01    4.323036e-01    5.074462e-03    5.301988e-03    5.529514e-03    9.834752e-01    1.652482e-02    0.000000e+00    8.436235e+02    2.363967e-02    1.521139e-01    1.162613e-04    3.479598e-05
    3.627000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    1.040484e-05    1.087049e-05    1.133613e-05    4.321351e-01    4.322117e-01    4.322883e-01    5.120227e-03    5.349379e-03    5.578532e-03    9.833275e-01    1.667252e-02   -1.694066e-16    8.513239e+02    2.417825e-02    1.228740e-01    1.352172e-04    3.453467e-05
    3.626000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    1.049870e-05    1.096769e-05    1.143667e-05    4.321186e-01    4.321957e-01    4.322729e-01    5.166423e-03    5.397212e-03    5.628001e-03    9.831784e-01    1.682161e-02   -1.694066e-16    8.590988e+02    2.472940e-02    1.228741e-01    1.355894e-04    3.397477e-05
    3.625000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    1.059343e-05    1.106579e-05    1.153815e-05    4.321019e-01    4.321796e-01    4.322573e-01    5.213052e-03    5.445490e-03    5.677927e-03    9.830279e-01    1.697207e-02    3.388132e-16    8.669491e+02    2.529344e-02    1.228741e-01    1.359655e-04    3.341430e-05
    3.624000e+02   -3.505230e-01    4.438400e-01    1.122600e-02    1.068910e-05    1.116481e-05    1.164053e-05    4.320850e-01    4.321633e-01    4.322415e-01    5.260119e-03    5.494217e-03    5.728315e-03    9.828761e-01    1.712394e-02    0.000000e+00    8.748755e+02    2.587066e-02    1.228742e-01    1.363456e-04    3.285334e-05
    3.623000e+02   -3.686290e-01    4.439300e-01    1.101800e-02    1.078564e-05    1.126475e-05    1.174387e-05    4.320680e-01    4.321468e-01    4.322257e-01    5.307629e-03    5.543398e-03    5.779167e-03    9.827228e-01    1.727723e-02   -1.694066e-16    8.828788e+02    2.646138e-02    1.358956e-01    1.388428e-04    2.997127e-05
    3.622000e+02   -1.612010e-01    4.440100e-01    1.102400e-02    1.088310e-05    1.136562e-05    1.184814e-05    4.320509e-01    4.321302e-01    4.322096e-01    5.355585e-03    5.593037e-03    5.830489e-03    9.825681e-01    1.743194e-02   -1.694066e-16    8.909599e+02    2.706593e-02    2.598943e-02    1.411285e-04    2.949536e-05
    3.621000e+02   -1.612010e-01    4.440100e-01    1.102400e-02    1.098141e-05    1.146743e-05    1.195346e-05    4.320335e-01    4.321135e-01    4.321934e-01    5.403992e-03    5.643138e-03    5.882285e-03    9.824119e-01    1.758809e-02    0.000000e+00    8.991194e+02    2.768464e-02    2.598946e-02    1.415267e-04    2.895367e-05
