     Temperature          CDdata          UVdata          FLdata    LowerBoundCD           CDfit    UpperBoundCD    LowerBoundUV           UVfit    UpperBoundUV    LowerBoundFL           FLfit    UpperBoundFL         PhiMono        PhiOligo         PhiPoly            Knuc             Kel      ResidualCD      ResidualUV      ResidualFL
    3.630000e+02    6.992300e-02    1.032000e-01    9.634000e-04    1.030770e-07    1.078075e-07    1.125380e-07    1.126519e-01    1.126540e-01    1.126560e-01    9.217679e-05    9.640519e-05    1.006336e-04    9.983465e-01    1.653463e-03    4.482922e-13    8.284436e+02    2.259908e-02    4.889211e-03    8.937710e-05    7.516800e-07
    3.629000e+02   -4.488700e-02    1.027900e-01    2.683200e-03    1.040241e-07    1.087886e-07    1.135530e-07    1.126515e-01    1.126535e-01    1.126556e-01    9.302232e-05    9.728234e-05    1.015424e-04    9.983315e-01    1.668508e-03    4.908556e-13    8.359970e+02    2.311338e-02    2.014852e-03    9.728917e-05    6.686970e-06
    3.628000e+02   -6.848900e-02    1.026000e-01    1.992200e-03    1.049803e-07    1.097791e-07    1.145778e-07    1.126511e-01    1.126531e-01    1.126552e-01    9.387605e-05    9.816795e-05    1.024598e-04    9.983163e-01    1.683697e-03    5.368071e-13    8.436235e+02    2.363967e-02    4.690758e-03    1.010649e-04    3.587357e-06
    3.627000e+02    5.582300e-02    1.029300e-01    1.670000e-03    1.059429e-07    1.107792e-07    1.156154e-07    1.126506e-01    1.126527e-01    1.126547e-01    9.473807e-05    9.906209e-05    1.033861e-04    9.983010e-01    1.699033e-03    5.863586e-13    8.513239e+02    2.417825e-02    3.116195e-03    9.453045e-05    2.467846e-06
    3.626000e+02   -1.236480e-01    1.038700e-01    1.933800e-03    1.069149e-07    1.117889e-07    1.166629e-07    1.126502e-01    1.126523e-01    1.126543e-01    9.560848e-05    9.996487e-05    1.043213e-04    9.982855e-01    1.714516e-03    6.388746e-13    8.590988e+02    2.472940e-02    1.528886e-02    7.712784e-05    3.362951e-06
    3.625000e+02   -2.794540e-01    1.037700e-01    2.202000e-03    1.079004e-07    1.128084e-07    1.177163e-07    1.126497e-01    1.126518e-01    1.126539e-01    9.648735e-05    1.008764e-04    1.052654e-04    9.982699e-01    1.730149e-03    6.952023e-13    8.669491e+02    2.529344e-02    7.809460e-02    7.888655e-05    4.414721e-06
    3.624000e+02   -1.462980e-01    1.025600e-01    1.674800e-03    1.088920e-07    1.138377e-07    1.187834e-07    1.126493e-01    1.126514e-01    1.126535e-01    9.737477e-05    1.017966e-04    1.062185e-04    9.982541e-01    1.745933e-03    7.553416e-13    8.748755e+02    2.587066e-02    2.140314e-02    1.018358e-04    2.474340e-06
    3.623000e+02   -1.462980e-01    1.025600e-01    1.674800e-03    1.098939e-07    1.148770e-07    1.198601e-07    1.126488e-01    1.126509e-01    1.126531e-01    9.827083e-05    1.027258e-04    1.071808e-04    9.982381e-01    1.761870e-03    8.192926e-13    8.828788e+02    2.646138e-02    2.140314e-02    1.018268e-04    2.471417e-06
    3.622000e+02    1.058200e-02    1.034100e-01    1.715300e-03    1.109077e-07    1.159264e-07    1.209451e-07    1.126483e-01    1.126505e-01    1.126526e-01    9.917561e-05    1.036640e-04    1.081524e-04    9.982220e-01    1.777961e-03    8.876905e-13    8.909599e+02    2.706593e-02    1.119763e-04    8.538644e-05    2.597371e-06
    3.621000e+02    4.320500e-02    1.030300e-01    1.360200e-03    1.119268e-07    1.169859e-07    1.220451e-07    1.126479e-01    1.126500e-01    1.126522e-01    1.000892e-04    1.046112e-04    1.091332e-04    9.982058e-01    1.794207e-03    9.607471e-13    8.991194e+02    2.768464e-02    1.866662e-03    9.254490e-05    1.576503e-06
    3.620000e+02    8.226800e-02    1.028400e-01    1.927800e-03    1.129636e-07    1.180557e-07    1.231479e-07    1.126474e-01    1.126496e-01    1.126517e-01    1.010117e-04    1.055676e-04    1.101235e-04    9.981894e-01    1.810610e-03    1.038039e-12    9.073582e+02    2.831784e-02    6.768004e-03    9.622764e-05    3.320531e-06
    3.619000e+02   -1.010250e-01    1.027900e-01    2.630900e-03    1.140065e-07    1.191359e-07    1.242654e-07    1.126469e-01    1.126491e-01    1.126513e-01    1.019432e-04    1.065333e-04    1.111234e-04    9.981728e-01    1.827173e-03    1.120413e-12    9.156771e+02    2.896589e-02    1.020608e-02    9.720201e-05    6.372427e-06
    3.618000e+02   -1.647520e-01    1.041900e-01    1.825800e-03    1.150532e-07    1.202266e-07    1.253999e-07    1.126464e-01    1.126486e-01    1.126509e-01    1.028838e-04    1.075083e-04    1.121328e-04    9.981561e-01    1.843895e-03    1.208504e-12    9.240770e+02    2.962913e-02    2.714326e-02    7.154862e-05    2.952526e-06
    3.617000e+02    5.460000e-03    1.041800e-01    2.364000e-03    1.161162e-07    1.213278e-07    1.265394e-07    1.126459e-01    1.126482e-01    1.126504e-01    1.038336e-04    1.084928e-04    1.131520e-04    9.981392e-01    1.860780e-03    1.301890e-12    9.325586e+02    3.030795e-02    2.981028e-05    7.170993e-05    5.087313e-06
    3.616000e+02   -1.388180e-01    1.035800e-01    1.536300e-03    1.171882e-07    1.224398e-07    1.276913e-07    1.126454e-01    1.126477e-01    1.126499e-01    1.047927e-04    1.094868e-04    1.141809e-04    9.981222e-01    1.877829e-03    1.401204e-12    9.411228e+02    3.100270e-02    1.927047e-02    8.222313e-05    2.035796e-06
    3.615000e+02   -1.963500e-02    1.039800e-01    2.148800e-03    1.182670e-07    1.235625e-07    1.288580e-07    1.126450e-01    1.126472e-01    1.126495e-01    1.057611e-04    1.104905e-04    1.152198e-04    9.981050e-01    1.895043e-03    1.506660e-12    9.497705e+02    3.171378e-02    3.855381e-04    7.512066e-05    4.154706e-06
    3.614000e+02   -2.073610e-01    1.046100e-01    2.189200e-03    1.193668e-07    1.246962e-07    1.300255e-07    1.126445e-01    1.126467e-01    1.126490e-01    1.067390e-04    1.115039e-04    1.162687e-04    9.980876e-01    1.912424e-03    1.617833e-12    9.585024e+02    3.244158e-02    4.299864e-02    6.458908e-05    4.316821e-06
    3.613000e+02   -3.356300e-02    1.032400e-01    1.985000e-03    1.204713e-07    1.258409e-07    1.312104e-07    1.126440e-01    1.126462e-01    1.126485e-01    1.077265e-04    1.125271e-04    1.173277e-04    9.980700e-01    1.929973e-03    1.736206e-12    9.673196e+02    3.318649e-02    1.126483e-03    8.847743e-05    3.506155e-06
    3.612000e+02   -1.083880e-01    1.029400e-01    1.481600e-03    1.215874e-07    1.269967e-07    1.324060e-07    1.126434e-01    1.126458e-01    1.126481e-01    1.087236e-04    1.135603e-04    1.183969e-04    9.980523e-01    1.947694e-03    1.861990e-12    9.762228e+02    3.394894e-02    1.174799e-02    9.420160e-05    1.871533e-06
    3.611000e+02   -1.140580e-01    1.029700e-01    1.797600e-03    1.227095e-07    1.281638e-07    1.336181e-07    1.126429e-01    1.126453e-01    1.126476e-01    1.097305e-04    1.146035e-04    1.194765e-04    9.980344e-01    1.965586e-03    1.995186e-12    9.852130e+02    3.472933e-02    1.300926e-02    9.361051e-05    2.832477e-06
    3.610000e+02   -2.093170e-01    1.033200e-01    1.778600e-03    1.238483e-07    1.293423e-07    1.348362e-07    1.126424e-01    1.126448e-01    1.126471e-01    1.107473e-04    1.156569e-04    1.205665e-04    9.980164e-01    1.983653e-03    2.136005e-12    9.942910e+02    3.552812e-02    4.381366e-02    8.695095e-05    2.765380e-06
    3.609000e+02   -4.164000e-03    1.043800e-01    1.498600e-03    1.249980e-07    1.305322e-07    1.360664e-07    1.126419e-01    1.126442e-01    1.126466e-01    1.117740e-04    1.167205e-04    1.216670e-04    9.979981e-01    2.001895e-03    2.284871e-12    1.003458e+03    3.634573e-02    1.733998e-05    6.829768e-05    1.909591e-06
    3.608000e+02   -7.285100e-02    1.031700e-01    2.034500e-03    1.261611e-07    1.317338e-07    1.373065e-07    1.126414e-01    1.126437e-01    1.126461e-01    1.128108e-04    1.177945e-04    1.227781e-04    9.979797e-01    2.020315e-03    2.442631e-12    1.012714e+03    3.718264e-02    5.307287e-03    8.975153e-05    3.673760e-06
    3.607000e+02   -1.340030e-01    1.034400e-01    1.716000e-03    1.273337e-07    1.329471e-07    1.385606e-07    1.126408e-01    1.126432e-01    1.126456e-01    1.138578e-04    1.188789e-04    1.239000e-04    9.979611e-01    2.038914e-03    2.609709e-12    1.022061e+03    3.803929e-02    1.795684e-02    8.469908e-05    2.550796e-06
    3.606000e+02   -9.564700e-02    1.033300e-01    2.542300e-03    1.285118e-07    1.341723e-07    1.398327e-07    1.126403e-01    1.126427e-01    1.126451e-01    1.149150e-04    1.199739e-04    1.250328e-04    9.979423e-01    2.057695e-03    2.786738e-12    1.031500e+03    3.891617e-02    9.148374e-03    8.672614e-05    5.867664e-06
    3.605000e+02   -1.445280e-01    1.030000e-01    2.573500e-03    1.297062e-07    1.354094e-07    1.411126e-07    1.126397e-01    1.126422e-01    1.126446e-01    1.159827e-04    1.210796e-04    1.261765e-04    9.979233e-01    2.076659e-03    2.973297e-12    1.041031e+03    3.981376e-02    2.088838e-02    9.297123e-05    6.014366e-06
    3.604000e+02    9.426900e-02    1.037800e-01    2.673300e-03    1.309126e-07    1.366587e-07    1.424047e-07    1.126392e-01    1.126416e-01    1.126441e-01    1.170608e-04    1.221960e-04    1.273313e-04    9.979042e-01    2.095807e-03    3.170656e-12    1.050655e+03    4.073258e-02    8.886619e-03    7.852841e-05    6.508131e-06
    3.603000e+02   -2.074190e-01    1.038400e-01    1.910600e-03    1.321308e-07    1.379201e-07    1.437095e-07    1.126386e-01    1.126411e-01    1.126436e-01    1.181495e-04    1.233234e-04    1.284973e-04    9.978849e-01    2.115143e-03    3.378814e-12    1.060374e+03    4.167312e-02    4.302270e-02    7.745913e-05    3.194358e-06
    3.602000e+02   -1.974300e-02    1.036100e-01    2.839600e-03    1.333603e-07    1.391940e-07    1.450276e-07    1.126381e-01    1.126405e-01    1.126430e-01    1.192490e-04    1.244618e-04    1.296746e-04    9.978653e-01    2.134667e-03    3.599043e-12    1.070188e+03    4.263593e-02    3.897915e-04    8.155071e-05    7.371976e-06
    3.601000e+02   -2.461320e-01    1.038200e-01    2.157800e-03    1.346039e-07    1.404803e-07    1.463566e-07    1.126375e-01    1.126400e-01    1.126425e-01    1.203592e-04    1.256113e-04    1.308633e-04    9.978456e-01    2.154382e-03    3.831130e-12    1.080099e+03    4.362153e-02    6.058103e-02    7.779229e-05    4.129791e-06
    3.600000e+02   -1.022300e-02    1.023300e-01    1.644900e-03    1.358570e-07    1.417792e-07    1.477013e-07    1.126369e-01    1.126394e-01    1.126420e-01    1.214804e-04    1.267720e-04    1.320635e-04    9.978257e-01    2.174290e-03    4.076134e-12    1.090107e+03    4.463049e-02    1.045126e-04    1.062845e-04    2.304713e-06
    3.599000e+02   -7.442900e-02    1.034600e-01    2.351500e-03    1.371200e-07    1.430909e-07    1.490617e-07    1.126363e-01    1.126389e-01    1.126414e-01    1.226126e-04    1.279440e-04    1.332754e-04    9.978056e-01    2.194392e-03    4.334903e-12    1.100213e+03    4.566336e-02    5.539697e-03    8.425183e-05    4.944201e-06
    3.598000e+02   -7.846400e-02    1.032800e-01    2.404500e-03    1.384036e-07    1.444154e-07    1.504272e-07    1.126358e-01    1.126383e-01    1.126409e-01    1.237560e-04    1.291276e-04    1.344991e-04    9.977853e-01    2.214691e-03    4.607859e-12    1.110419e+03    4.672073e-02    6.156622e-03    8.757805e-05    5.177320e-06
    3.597000e+02   -2.694640e-01    1.038800e-01    1.782000e-03    1.396917e-07    1.457529e-07    1.518142e-07    1.126352e-01    1.126377e-01    1.126403e-01    1.249107e-04    1.303227e-04    1.357347e-04    9.977648e-01    2.235189e-03    4.895639e-12    1.120725e+03    4.780319e-02    7.261093e-02    7.669807e-05    2.728038e-06
    3.596000e+02   -1.851070e-01    1.032800e-01    1.895700e-03    1.410003e-07    1.471036e-07    1.532070e-07    1.126346e-01    1.126372e-01    1.126398e-01    1.260767e-04    1.315295e-04    1.369823e-04    9.977441e-01    2.255888e-03    5.198876e-12    1.131132e+03    4.891135e-02    3.426466e-02    8.755657e-05    3.112298e-06
    3.595000e+02   -9.558100e-02    1.030100e-01    2.145100e-03    1.423171e-07    1.484676e-07    1.546181e-07    1.126340e-01    1.126366e-01    1.126392e-01    1.272543e-04    1.327482e-04    1.382420e-04    9.977232e-01    2.276789e-03    5.518420e-12    1.141642e+03    5.004584e-02    9.135756e-03    9.267113e-05    4.049560e-06
    3.594000e+02   -8.558500e-02    1.027800e-01    2.726700e-03    1.436447e-07    1.498450e-07    1.560453e-07    1.126333e-01    1.126360e-01    1.126386e-01    1.284435e-04    1.339788e-04    1.395140e-04    9.977021e-01    2.297895e-03    5.855539e-12    1.152256e+03    5.120730e-02    7.324818e-03    9.714067e-05    6.722203e-06
    3.593000e+02   -2.646220e-01    1.040700e-01    2.504100e-03    1.449952e-07    1.512360e-07    1.574768e-07    1.126327e-01    1.126354e-01    1.126381e-01    1.296445e-04    1.352215e-04    1.407984e-04    9.976808e-01    2.319208e-03    6.209810e-12    1.162975e+03    5.239638e-02    7.002488e-02    7.336613e-05    5.611586e-06
    3.592000e+02    1.620090e-01    1.036500e-01    2.290700e-03    1.463499e-07    1.526407e-07    1.589314e-07    1.126321e-01    1.126348e-01    1.126375e-01    1.308573e-04    1.364763e-04    1.420953e-04    9.976593e-01    2.340731e-03    6.583564e-12    1.173799e+03    5.361376e-02    2.624687e-02    8.072670e-05    4.640680e-06
    3.591000e+02   -6.817200e-02    1.025400e-01    1.479800e-03    1.477231e-07    1.540592e-07    1.603953e-07    1.126315e-01    1.126342e-01    1.126369e-01    1.320821e-04    1.377435e-04    1.434049e-04    9.976375e-01    2.362464e-03    6.977010e-12    1.184730e+03    5.486013e-02    4.647443e-03    1.018928e-04    1.801116e-06
    3.590000e+02    6.232200e-02    1.036900e-01    1.973100e-03    1.491053e-07    1.554917e-07    1.618781e-07    1.126309e-01    1.126336e-01    1.126363e-01    1.333190e-04    1.390231e-04    1.447272e-04    9.976156e-01    2.384412e-03    7.391210e-12    1.195768e+03    5.613618e-02    3.884012e-03    7.998775e-05    3.363838e-06
    3.589000e+02   -6.404900e-02    1.033000e-01    2.767500e-03    1.505035e-07    1.569384e-07    1.633733e-07    1.126302e-01    1.126330e-01    1.126357e-01    1.345682e-04    1.403153e-04    1.460624e-04    9.975934e-01    2.406574e-03    7.826796e-12    1.206917e+03    5.744266e-02    4.102295e-03    8.710432e-05    6.902099e-06
    3.588000e+02   -1.995190e-01    1.029600e-01    2.038600e-03    1.519158e-07    1.583993e-07    1.648829e-07    1.126296e-01    1.126324e-01    1.126351e-01    1.358297e-04    1.416202e-04    1.474107e-04    9.975711e-01    2.428955e-03    8.285465e-12    1.218175e+03    5.878030e-02    3.980790e-02    9.355428e-05    3.598532e-06
    3.587000e+02   -9.069800e-02    1.032300e-01    2.904500e-03    1.533436e-07    1.598748e-07    1.664059e-07    1.126289e-01    1.126317e-01    1.126345e-01    1.371038e-04    1.429380e-04    1.487721e-04    9.975484e-01    2.451556e-03    8.767638e-12    1.229544e+03    6.014985e-02    8.226156e-03    8.839228e-05    7.626225e-06
